"passport_type_id","passport_type_desc_en","passport_type_desc_ar"
"26","Official Passport ","جواز رسمي"
"27","Service Passport","جواز خدمة"
"3","Private","خاص"
"4","Temporary","مؤقت"
"5","Assignment","لمهمة"
"6","Maritime","جواز بحري"
"7","Travel Doc","وثيقة سفر"
"8","Return Pass","إذن عودة"
"1","Normal","عادي"
"2","Diplomatic","دبلوماسي"
"13","Egyptian Travel Doc","وثيقه سفر مصرية"
"14","Syrian Travel Doc","وثيقه سفر سورية"
"15","Lebanese Travel Doc","وثيقه سفر لبنانية"
"19","United Nations Passport","جواز سفر الأمم المتحدة"
"10","Crew Card","بطاقة طاقم "
"84","Public Affairs","الشؤون العامة"
"85","Emergency Passport","جواز سفر الطوارئ"
"86","Omani Travel Document","وثيقة سفر عمانية"
"87","FOREIGN PASSPORT","جواز سفر أجنبي"
"93","Military Card","بطاقة عسكرية    "
"94","EU Passport","جواز سفر اتحاد اوروبي"
"95","Business Passport","جواز سفر أعمال"
